channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
GS홈쇼핑 마이샵	20260701	03:53	03:58	5	락앤락 스마트킵 프래쉬 초특가패키지 13종	락앤락	락앤락 스마트킵 프래쉬 초특가패키지 13종	단순	03:53	03:58	5	49800		생활/건강	49800	https://www.gsshop.com/prd/prd.gs?prdid=1114518634&brddate=20260701035300&pgmID=6995&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260701	03:55	04:05	10	24K 비너스 체인 목걸이	24K	24K 비너스 체인 목걸이	단순	03:55	04:05	10	5320000		패션잡화	5320000	https://display.cjonstyle.com/p/item/2087659771
쇼핑엔티	20260701	03:57	04:18	21	골드 카무트 효소 12박스 +  파로누룽지 1박스(10봉)	카무트	골드 카무트 효소 12박스 +  파로누룽지 1박스(10봉)	단순	03:57	04:18	21	396000	건강식품	패션의류	396000	https://www.shoppingntmall.com/display/goods/24021046
롯데원티비	20260701	03:57	04:02	5	[락앤락] ◎ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	락앤락	[락앤락] ◎ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	단순	03:57	04:02	5	118000		생활/건강	118000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911520
GS홈쇼핑 마이샵	20260701	03:58	04:13	15	모르간 26SS 플루이드 밴딩팬츠 3종	모르간	모르간 26SS 플루이드 밴딩팬츠 3종	단순	03:58	04:13	15	359600		패션의류	89900	https://www.gsshop.com/prd/prd.gs?prdid=1105961989&brddate=20260713213800&pgmID=13307&ordChannel=WE&tveshop=Y
신세계쇼핑	20260701	03:59	04:20	21	[상시] 하루틴 리포좀 멀티비타민 미네랄 액티브 12박스[s]	하루틴	[상시] 하루틴 리포좀 멀티비타민 미네랄 액티브 12박스[s]	단순	03:59	04:20	21	576000	건강식품	식품	288000	https://www.shinsegaetvshopping.com/display/detail/1001879760
CJ온스타일	20260701	04:00	04:30	30	토탈모션 360도 100% 천연양털 로퍼(4cm 키높이)	락포트	토탈모션 360도 100% 천연양털 로퍼(4cm 키높이)	단순	04:00	04:30	30	4158000	잡화/주얼리	패션잡화	189000	https://display.cjonstyle.com/p/item/2073111940?channelCode=30002002
GS홈쇼핑	20260701	04:00	05:00	60	[방송에서만 1박 더] 해피한 자유숙박권 총 7박 / 전국 100여개 호텔&리조트&펜션 / 1년간 자유롭게 사용가능	해피한	[방송에서만 1박 더] 해피한 자유숙박권 총 7박 / 전국 100여개 호텔&리조트&펜션 / 1년간 자유롭게 사용가능	단순	04:00	05:00	60	38001000	여행	여가/생활편의	239000	https://www.gsshop.com/prd/prd.gs?prdid=1086146251&brddate=20260701040000&pgmID=9613&ordChannel=WE&tveshop=Y
NS홈쇼핑	20260701	04:00	05:01	61	히트상품 앵콜방송4부	히트상품	히트상품 앵콜방송4부	복합	04:00	05:01	61	11406100		식품	28900	https://m.nsmall.com/goods/35999134
롯데홈쇼핑	20260701	04:00	04:20	20	[아쿠아스큐텀] 아쿠아스큐텀 26SS 여성 프렌치 린넨 깅엄체크 셔츠	아쿠아스큐텀	[아쿠아스큐텀] 아쿠아스큐텀 26SS 여성 프렌치 린넨 깅엄체크 셔츠	단순	04:00	04:20	20	3655500	의류	패션의류	67910	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12901046
롯데원티비	20260701	04:02	04:07	5	[락앤락] ○ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	락앤락	[락앤락] ○ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	단순	04:02	04:07	5	0		생활/건강	118000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911518
CJ온스타일 플러스	20260701	04:05	04:15	10	24K 트리플 팬던트 목걸이	24K	24K 트리플 팬던트 목걸이	단순	04:05	04:15	10	5180000		패션잡화	3790000	https://display.cjonstyle.com/p/item/2087663910
롯데원티비	20260701	04:07	04:12	5	[락앤락] ◎ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	락앤락	[락앤락] ◎ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	단순	04:07	04:12	5	118000		생활/건강	118000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911520
KT알파쇼핑	20260701	04:08	04:33	25	(수정샵)세라_가방	닥터린	(수정샵)세라_가방	단순	04:08	04:33	25	1198800	건강식품	식품	329000	https://m.kshop.co.kr/display/product/8744654
